phase,model,batch_size,ok,oom,steps,warmup_steps,mean_step_s,median_step_s,p90_step_s,timed_step_s_total,setup_s,torch_peak_allocated_gb,torch_peak_reserved_gb,nvidia_smi_peak_gb,device_name,cuda_version,text_path,chunk_count,error,stderr_tail,target_gb
explore,C1_bert_s1,8,True,False,30.0,3.0,0.156046,0.155905,0.156438,4.6814,4.1161,3.637,3.875,4.192,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C1_bert_s1,16,True,False,30.0,3.0,0.293595,0.293583,0.294523,8.8079,8.5445,5.941,6.143,6.46,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C1_bert_s1,24,True,False,30.0,3.0,0.42067,0.420622,0.421475,12.6202,4.1397,8.278,8.496,8.813,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C1_bert_s1,32,True,False,30.0,3.0,0.548897,0.54872,0.551428,16.467,3.4127,10.61,10.863,11.181,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C1_bert_s1,48,True,False,30.0,3.0,0.820581,0.820869,0.822582,24.6175,8.1945,15.258,15.445,15.763,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C1_bert_s1,64,True,False,30.0,3.0,1.081023,1.080793,1.084676,32.4308,2.4723,19.896,20.439,20.757,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C1_bert_s1,68,True,False,30.0,3.0,1.137414,1.137077,1.139444,34.1225,4.7583,21.065,21.389,21.706,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C1_bert_s1,72,True,False,30.0,3.0,1.246099,1.245475,1.249132,37.3831,3.2051,22.223,22.514,22.831,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
final,C1_bert_s1,72,True,False,300.0,5.0,1.251254,1.251642,1.25378,375.3768,2.9477,22.223,22.514,22.831,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C2_finbert_s1,8,True,False,30.0,3.0,0.158142,0.157877,0.159142,4.7443,4.6067,3.637,3.875,4.192,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C2_finbert_s1,16,True,False,30.0,3.0,0.295442,0.295346,0.29636,8.8633,3.1265,5.941,6.143,6.46,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C2_finbert_s1,24,True,False,30.0,3.0,0.422621,0.422687,0.424053,12.6787,3.1558,8.278,8.496,8.813,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C2_finbert_s1,32,True,False,30.0,3.0,0.550021,0.549685,0.550693,16.5007,3.3591,10.61,10.863,11.181,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C2_finbert_s1,48,True,False,30.0,3.0,0.823111,0.823124,0.825562,24.6934,3.3076,15.258,15.445,15.763,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C2_finbert_s1,64,True,False,30.0,3.0,1.079852,1.079767,1.081487,32.3957,3.1278,19.896,20.439,20.757,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C2_finbert_s1,68,True,False,30.0,3.0,1.138069,1.138354,1.140606,34.1422,4.3219,21.065,21.389,21.706,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C2_finbert_s1,72,True,False,30.0,3.0,1.246117,1.246569,1.248412,37.3836,12.6555,22.223,22.514,22.831,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
final,C2_finbert_s1,72,True,False,300.0,5.0,1.25313,1.253897,1.256353,375.9398,3.1173,22.223,22.514,22.831,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,C2_finbert_s2,2,True,False,30.0,3.0,0.463392,0.463297,0.464291,13.9018,13.9022,10.564,10.877,11.194,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s2,3,True,False,30.0,3.0,0.692201,0.692543,0.693553,20.7661,7.5862,15.187,15.375,15.692,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s2,4,True,False,30.0,3.0,0.905183,0.905564,0.906754,27.1555,7.4233,19.802,20.346,20.663,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s2,5,False,True,,,,,,,7.4276,23.184,23.205,,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,"OutOfMemoryError: CUDA out of memory. Tried to allocate 120.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 46.00 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 23.18 GiB is allocated by PyTorch, and 21.64 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",,22.0
explore,C2_finbert_s2,2,True,False,30.0,3.0,0.460021,0.459935,0.460975,13.8007,8.3914,10.564,10.877,11.194,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s2,3,True,False,30.0,3.0,0.69047,0.690894,0.692684,20.7142,7.4342,15.187,15.375,15.692,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s2,4,True,False,30.0,3.0,0.904165,0.904196,0.905857,27.125,7.2792,19.802,20.346,20.663,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
